Dom	DistDiff
101mA00	0.1375
102mA00	0.6058
103mA00	0.4434
104mA00	0.5467
105mA00	0.4334
106mA00	0.415
107mA00	0.4657
108mA00	0.4135
109mA00	0.3463
10gsA01	0.2916
10gsA02	0.0456
10gsB01	0.2915
10gsB02	0.0455
10mhA01	0.4996
10mhA02	0.7692
110mA00	0.2839
111mA00	0.3428
112mA00	0.2399
117eA00	0.3834
117eB00	0.2711
11baA00	5.7524
11baB00	5.799
11bgA00	5.7531
11bgB00	6.2688
11gsA01	0.2354
11gsA02	0.1125
11gsB01	0.234
11gsB02	0.1076
121pA00	0.6369
12caA00	0.2702
12gsA01	0.2936
12gsA02	0.0488
12gsB01	0.1669
12gsB02	0.068
132lA00	0.4988
133lA00	0.146
134lA00	0.3
135lA00	0.3534
13gsA01	0.2808
13gsA02	0.0202
13gsB01	0.2694
13gsB02	0.0248
14gsA01	3.9532
14gsA02	0.1252
14gsB01	3.9535
14gsB02	0.126
15c8H01	14.5181
15c8H02	0.8982
15c8L02	0.2509
16gsA01	0.2768
16gsA02	0.0048
16gsB01	0.269
16gsB02	0.0048
17gsA01	0.3112
17gsA02	0.0844
17gsB01	0.2989
17gsB02	0.0776
18gsA01	0.3476
18gsA02	0.0667
18gsB01	0.1906
18gsB02	0.0305
193lA00	0.3022
194lA00	0.3257
19gsA01	0.4244
19gsA02	0.0713
19gsB01	0.1105
19gsB02	0.0713
1a00A00	0.2646
1a00B00	0.414
1a00C00	0.2859
1a00D00	0.1889
1a01A00	0.2618
1a01B00	0.5414
1a01C00	0.087
1a01D00	0.3086
1a07A00	0.4276
1a07B00	0.3585
1a08A00	0.5383
1a08B00	0.2831
1a09A00	0.4014
1a09B00	0.318
1a0hA01	0.5631
1a0hA02	8.0406
1a0hB01	0.5845
1a0hB02	0.4973
1a0hD01	0.52
1a0hD02	8.075
1a0hE01	0.6786
1a0hE02	0.6785
1a0lA01	0.3382
1a0lA02	1.8511
1a0lB01	0.3611
1a0lB02	1.8429
1a0lC01	0.2844
1a0lC02	1.8563
1a0lD01	0.3885
1a0lD02	1.9031
1a0nB00	0.4871
1a0oA00	0.3666
1a0oC00	0.3675
1a0oE00	0.3402
1a0oG00	0.3808
1a0qH01	14.0953
1a0qH02	1.047
1a0qL02	0.5822
1a0rB00	0.9481
1a0rG00	0.419
1a0uA00	0.2451
1a0uB00	0.2642
1a0uC00	0.1507
1a0uD00	0.3722
1a0zA00	0.2374
1a0zB00	0.4127
1a0zC00	0.2112
1a0zD00	0.1858
1a12A00	4.7975
1a12B00	0.4086
1a12C00	0.582
1a15A00	0.6468
1a15B00	0.538
1a16A01	0.1131
1a16A02	0.0934
1a17A00	2.4242
1a18A00	0.3952
1a19A00	0.1599
1a19B00	0.1618
1a1aA00	0.4648
1a1aB00	0.46
1a1bA00	0.3719
1a1bB00	0.2805
1a1cA00	0.3267
1a1cB00	0.2106
1a1eA00	0.3177
1a1eB00	0.2543
1a1fA01	0.3698
1a1fA02	0.218
1a1fA03	0.2336
1a1gA01	0.3052
1a1gA02	0.1566
1a1gA03	0.1513
1a1hA01	0.2794
1a1hA02	0.193
1a1hA03	0.1368
1a1iA01	0.3927
1a1iA02	0.2119
1a1iA03	0.1265
1a1jA01	0.3441
1a1jA02	0.0911
1a1jA03	0.1307
1a1kA01	0.4263
1a1kA02	0.0644
1a1kA03	0.1262
1a1lA01	0.3473
1a1lA02	0.1194
1a1lA03	0.134
1a1mA01	0.4804
1a1mA02	0.2684
1a1mB00	0.3347
1a1nA01	0.4459
1a1nA02	0.4945
1a1nB00	0.196
1a1oA01	0.2246
1a1oA02	0.1903
1a1oB00	0.4987
1a22A00	5.2308
1a23A00	0.8161
1a24A00	1.0988
1a27A00	0.2784
1a28A00	0.7333
1a28B00	0.6723
1a29A00	12.9748
1a2bA00	0.5752
1a2cH01	4.4305
1a2cH02	0.4273
1a2dA00	0.4857
1a2dB00	0.4247
1a2fA01	0.4192
1a2fA02	0.4279
1a2gA01	0.4498
1a2gA02	0.5092
1a2jA00	0.3089
1a2kA00	0.2186
1a2kB00	0.3471
1a2kC00	3.9103
1a2kD00	4.3997
1a2kE00	3.2651
1a2lA00	0.3878
1a2lB00	0.2545
1a2mA00	0.2128
1a2mB00	0.3211
1a2pA00	0.3856
1a2pB00	0.1437
1a2pC00	0.4804
1a2qA00	0.7387
1a2tA00	0.6136
1a2uA00	0.408
1a2vA01	0.0104
1a2vA02	0
1a2vA03	0.1733
1a2vB01	0.0105
1a2vB02	0.0046
1a2vB03	0.1807
1a2vC01	0.0053
1a2vC02	0
1a2vC03	0.1919
1a2vD01	0.0224
1a2vD02	0.0049
1a2vD03	0.1554
1a2vE01	0.0156
1a2vE02	0.0047
1a2vE03	0.1633
1a2vF01	0.0159
1a2vF02	0
1a2vF03	0.1954
1a2wA00	6.0947
1a2wB00	6.4656
1a2yC00	0.8036
1a31A01	0.1194
1a31A02	0.4628
1a31A03	0.1501
1a31A04	0.8904
1a35A01	0.1511
1a35A02	0.4252
1a35A03	0.3089
1a35A04	0.4907
1a36A01	0.1326
1a36A02	0.3996
1a36A03	0.3053
1a36A04	0.5365
1a3bH01	4.4077
1a3bH02	0.3303
1a3eH01	4.4087
1a3eH02	0.242
1a3hA00	0.4219
1a3kA00	0.1296
1a3lH01	16.6954
1a3lH02	0.6767
1a3lL02	0.5753
1a3nA00	0.2783
1a3nB00	0.5511
1a3nC00	0.3132
1a3nD00	0.3506
1a3oA00	0.3941
1a3oB00	0.5081
1a3oC00	0.2889
1a3oD00	0.6241
1a3rL01	0.261
1a3rL02	0.616
1a3sA00	0.3855
1a3tA00	0.7968
1a3uA00	0.4049
1a3vA00	0.6586
1a40A01	4.5575
1a40A02	0.1305
1a42A00	0.5401
1a46H01	4.2917
1a46H02	0.2419
1a4hA00	9.3976
1a4jA02	0.3625
1a4jL02	0.3567
1a4kA02	0.4808
1a4kL02	0.1239
1a4lA00	0.7505
1a4lB00	0.4931
1a4lC00	0.7831
1a4lD00	0.6223
1a4mA00	1.0314
1a4mB00	0.3305
1a4mC00	0.933
1a4mD00	0.3805
1a4rA00	1.5847
1a4rB00	1.61
1a4wH01	4.3541
1a4wH02	0.3004
1a4yB00	0.3222
1a4yE00	0.472
1a50A00	0.7573
1a50B01	0.4642
1a50B02	0.5544
1a52A00	3.3899
1a52B00	3.3405
1a53A00	0.3355
1a54A01	4.6221
1a54A02	0.322
1a55A01	4.7663
1a55A02	0.3518
1a57A00	4.7264
1a5aA00	2.2029
1a5aB01	0.2146
1a5aB02	0.5202
1a5bA00	3.2189
1a5bB01	0.5576
1a5bB02	0.4609
1a5gH01	4.1885
1a5gH02	0.3586
1a5hA01	0.8767
1a5hA02	0.3057
1a5hB01	0.8794
1a5hB02	0.2715
1a5kA00	0.2483
1a5kB00	0.1338
1a5kC01	0.4025
1a5kC02	0.5788
1a5lA00	0.2903
1a5lB00	0.1794
1a5lC01	0.395
1a5lC02	0.5558
1a5mA00	0.2192
1a5mB00	0.1447
1a5mC01	0.3899
1a5mC02	0.5963
1a5nA00	0.2418
1a5nB00	0.153
1a5nC01	0.3989
1a5nC02	0.5346
1a5oA00	0.2752
1a5oB00	0.1706
1a5oC01	0.4212
1a5oC02	0.7365
1a5pA00	0.148
1a5qA00	0.3574
1a5sA00	0.7354
1a5sB01	0.165
1a5sB02	0.6433
1a5yA00	0.3133
1a61H01	4.2542
1a61H02	0.3372
1a62A01	0.202
1a62A02	0.4067
1a63A01	0.3868
1a63A02	1.5761
1a69A00	0.353
1a69B00	0.5216
1a69C00	1.0088
1a6aA01	0.1665
1a6aA02	0.5182
1a6aB01	0.1607
1a6aB02	0.2032
1a6gA00	0.3945
1a6iA01	0.5251
1a6iA02	0.5211
1a6kA00	0.2767
1a6lA00	0.0815
1a6mA00	0.2939
1a6nA00	0.3875
1a6qA01	0.381
1a6qA02	0.1282
1a6uL00	0.2237
1a6vL00	0.1989
1a6vM00	0.1711
1a6vN00	0.3073
1a6wL00	0.2801
1a6zB00	0.2172
1a6zD00	0.1862
1a71A01	0.1698
1a71A02	0.1953
1a71B01	0.274
1a71B02	0.1831
1a72A01	0.3083
1a72A02	0.5404
1a7cA01	0.6351
1a7cA02	0.3534
1a7lA01	0.2388
1a7lB01	0.2887
1a7lB02	0.386
1a7lC01	0.2111
1a7lC02	0.4753
1a7xA00	0.5382
1a7xB00	0.4182
1a81A01	0.3846
1a81A02	0.465
1a81A03	0.4357
1a81C01	0.5233
1a81C02	0.3974
1a81C03	0.5897
1a81E01	0.5087
1a81E02	0.2623
1a81G01	0.5053
1a81G02	0.5159
1a81I01	0.3805
1a81I02	0.3946
1a81I03	0.343
1a81K01	0.4205
1a81K02	0.4757
1a82A00	0.3698
1a85A00	0.7276
1a86A00	0.6637
1a8aA01	0.2956
1a8aA02	0.2661
1a8aA03	0.3721
1a8aA04	0.2267
1a8bA01	0.3046
1a8bA02	0.3669
1a8bA03	0.4581
1a8bA04	0.2077
1a8dA01	3.3684
1a8dA02	0.9827
1a8eA01	0.187
1a8eA02	0.2438
1a8fA01	0.3626
1a8fA02	0.6728
1a8iA01	6.1566
1a8iA02	0.4058
1a8mA00	1.0743
1a8mB00	0.3998
1a8mC00	1.4742
1a8vA02	0.4681
1a8vB02	0.5445
1a91A00	2.8893
1a99A01	0.1554
1a99A02	0.1639
1a99B01	0.1978
1a99B02	0.2297
1a99C01	0.2973
1a99C02	0.1725
1a99D01	0.291
1a99D02	0.2205
1a9bA01	0.6167
1a9bA02	0.4584
1a9bB00	0.2957
1a9bD01	0.6167
1a9bD02	0.4583
1a9bE00	0.2957
1a9eA01	0.2848
1a9eA02	0.1965
1a9eB00	0.5607
1a9nA00	0.4026
1a9nB00	0.2989
1a9nC00	0.3522
1a9nD00	0.3016
1a9oA00	0.4807
1a9pA00	0.4786
1a9qA00	0.5829
1a9rA00	0.6149
1a9sA00	0.235
1a9tA00	0.2767
1a9uA01	5.1451
1a9uA02	3.7496
1a9wA00	0.5524
1a9wC00	0.4917
1a9xA01	0.422
1a9xA02	0.2621
1a9xA03	0.1063
1a9xA04	0.1549
1a9xA05	0.0763
1a9xA06	0.1829
1a9xA07	1.6378
1a9xA08	0.4068
1a9xB01	0.0528
1a9xB02	0.1508
1a9xC01	0.2329
1a9xC02	0.3851
1a9xC03	0.0322
1a9xC04	0.2591
1a9xC05	0.0338
1a9xC06	0.1443
1a9xC07	1.6558
1a9xC08	0.3376
1a9xD01	0.0372
1a9xD02	0.0939
1a9xE01	0.3028
1a9xE02	0.2749
1a9xE03	0.206
1a9xE04	0.2218
1a9xE05	0.094
1a9xE06	0.1216
1a9xE07	1.6471
1a9xE08	0.3098
1a9xF01	0.0504
1a9xF02	0.1717
1a9xG01	0.2266
