Dom	SP_PRIMARY	af2ResBoundary	af2DomLen	PID	PID1	pLDDTq10	pLDDTq20	pLDDTq30	RMSD6	Nter_trunc	Cter_trunc
101mA00	P02185	1-154	154	98.701	98.701	96.511	96.968	97.615	0.392	FALSE	FALSE
102mA00	P02185	1-154	154	98.701	98.701	96.511	96.968	97.615	0.403	FALSE	FALSE
105mA00	P02185	2-154	153	100	100	96.568	97.004	97.644	0.847	FALSE	FALSE
10gsA02	P09211	80-187	108	100	100	98.101	98.394	98.501	0.209	FALSE	FALSE
107mA00	P02185	1-154	154	98.701	98.701	96.511	96.968	97.615	0.359	FALSE	FALSE
106mA00	P02185	1-154	154	98.701	98.701	96.511	96.968	97.615	0.356	FALSE	FALSE
104mA00	P02185	2-154	153	100	100	96.568	97.004	97.644	0.508	FALSE	FALSE
108mA00	P02185	1-154	154	98.701	98.701	96.511	96.968	97.615	0.329	FALSE	FALSE
10gsB01	P09211	3-79,188-209	99	47.826	100	97.324	97.784	98.052	0.324	FALSE	FALSE
109mA00	P02185	1-154	154	99.351	99.351	96.511	96.968	97.615	0.334	FALSE	FALSE
10gsB02	P09211	80-187	108	100	100	98.101	98.394	98.501	0.209	FALSE	FALSE
16gsA01	P09211	3-79,188-209	99	47.826	100	97.324	97.784	98.052	0.307	FALSE	FALSE
10mhA02	P05102	187-284	98	100	100	91.647	93.158	94.552	0.598	FALSE	FALSE
18gsA01	P09211	3-79,188-209	99	47.826	100	97.324	97.784	98.052	0.346	FALSE	FALSE
110mA00	P02185	1-154	154	99.351	99.351	96.511	96.968	97.615	0.323	FALSE	FALSE
17gsA01	P09211	3-79,188-209	99	47.343	98.99	97.324	97.784	98.052	0.315	FALSE	FALSE
15c8L02	P01837	2-104	103	100	100	95.144	96.658	96.976	0.547	FALSE	FALSE
111mA00	P02185	1-154	154	99.351	99.351	96.511	96.968	97.615	0.345	FALSE	FALSE
17gsB02	P09211	80-187	108	100	100	98.101	98.394	98.501	0.188	FALSE	FALSE
112mA00	P02185	1-154	154	99.351	99.351	96.511	96.968	97.615	0.336	FALSE	FALSE
15c8L01	P01837	3-9,13-51,56-80,82-83,88-123	109	23.14	25.688	94.75	96.47	96.818	15.706	FALSE	FALSE
18gsB01	P09211	3-79,188-209	99	47.826	100	97.324	97.784	98.052	0.354	FALSE	FALSE
16gsB01	P09211	3-79,188-209	99	47.826	100	97.324	97.784	98.052	0.309	FALSE	FALSE
11bgB00	P00669	37-150	114	100	100	94.381	96.578	97.199	6.407	TRUE	FALSE
17gsB01	P09211	3-79,188-209	99	47.343	98.99	97.324	97.784	98.052	0.313	FALSE	FALSE
18gsA02	P09211	80-187	108	100	100	98.101	98.394	98.501	0.191	FALSE	FALSE
17gsA02	P09211	80-187	108	100	100	98.101	98.394	98.501	0.189	FALSE	FALSE
11baB00	P00669	37-150	114	100	100	94.381	96.578	97.199	6.615	TRUE	FALSE
11baA00	P00669	37-150	114	100	100	94.381	96.578	97.199	6.52	TRUE	FALSE
11bgA00	P00669	37-150	114	100	100	94.381	96.578	97.199	6.409	TRUE	FALSE
16gsA02	P09211	80-187	108	100	100	98.101	98.394	98.501	0.166	FALSE	FALSE
16gsB02	P09211	80-187	108	100	100	98.101	98.394	98.501	0.167	FALSE	FALSE
193lA00	P00698	19-147	129	100	100	96.914	97.782	98.238	0.328	FALSE	FALSE
11gsA02	P09211	80-187	108	100	100	98.101	98.394	98.501	0.175	FALSE	FALSE
11gsA01	P09211	3-79,188-209	99	47.826	100	97.324	97.784	98.052	0.309	FALSE	FALSE
11gsB01	P09211	3-79,188-209	99	47.826	100	97.324	97.784	98.052	0.309	FALSE	FALSE
12gsB01	P09211	3-79,188-209	99	47.826	100	97.324	97.784	98.052	0.305	FALSE	FALSE
19gsA02	P09211	80-187	108	100	100	98.101	98.394	98.501	0.176	FALSE	FALSE
19gsA01	P09211	3-79,188-209	99	47.826	100	97.324	97.784	98.052	0.369	FALSE	FALSE
1a0nB00	P06241	84-141	58	100	100	86.766	89.688	91.403	0.887	FALSE	FALSE
11gsB02	P09211	80-187	108	100	100	98.101	98.394	98.501	0.175	FALSE	FALSE
194lA00	P00698	19-147	129	100	100	96.914	97.782	98.238	0.324	FALSE	FALSE
12gsA01	P09211	3-79,188-209	99	47.826	100	97.324	97.784	98.052	0.321	FALSE	FALSE
1a0lD02	P20231	43-138,261-274	110	46.983	99.091	94.917	96.662	97.782	1.629	FALSE	FALSE
1a0lD01	P20231	31-42,140-261	134	58.009	100	94.545	95.718	96.66	0.335	FALSE	FALSE
1a00D00	P68871	2-147	146	98.63	98.63	95.69	96.89	97.375	0.534	FALSE	FALSE
10mhA01	P05102	1-186,285-327	229	70.031	100	89.786	95.316	96.952	0.8	FALSE	FALSE
12gsA02	P09211	80-187	108	100	100	98.101	98.394	98.501	0.179	FALSE	FALSE
1a00A00	P69905	2-142	141	100	100	97.6	98	98.35	0.293	FALSE	FALSE
